datetime,daily_temp_range,cumulative_thermal_load,solar_penetration_percent,load_30d_mean,cooling_degree_hours,hourly_thermal_stress,load_24h_range,solar_irradiance_dni_wm2,net_load_minimum_value,duck_curve_temperature_stability,evening_peak_duration,surface_pressure (hPa),load_7d_mean,daily_heat_index_mean,day_of_month_cos,daily_heat_index_max,et0_fao_evapotranspiration (mm),net_load_minimum_timing,wind_speed_10m (km/h),heat_index_celsius,relative_humidity_2m (%),max_solar_decline,day_of_year_cos,solar_temperature_load_factor,solar_direct_radiation_wm2,diffuse_radiation,duck_curve_depth_mw,load_24h_mean,weekday_weather_sensitivity,day,day_of_month_sin,heat_index_persistence_24h,daily_heat_index_std,daily_heat_index_min,wind_direction_100m,solar_diffuse_radiation_wm2,afternoon_discomfort_index,cloud_cover (%),day_of_week_cos,ac_load_probability,temp_humidity_hour,solar_decline_rate,week_of_year,peak_temp_volatility_impact,is_peak_hour,daily_cooling_degree_days,evening_cooling_index,load_24h_std,peak_amplitude_ratio,temperature_2m (°C),metro_operational_hours,max_ramp_hour,cumulative_heat_stress,seasonal_temp_anomaly,month_cos,heat_index_stress,wind_gusts_10m (km/h),cloud_cover_total,heat_index_delta,cooling_load_index_7d,day_of_year_sin,post_duck_recovery_intensity,daily_thermal_stress,monsoon_cooling_effect,morning_peak_intensity,commercial_activity_index,cumulative_cdd_monthly,daily_thermal_stress_accumulation,cloud_cover_mid,renewable_stress_level,load_diff_168h,solar_irradiance_ghi_wm2,comprehensive_activity_score,duck_severity_factor,central_business_activity,hour_cos,load_diff_24h,load_lag_1h,load_7d_std,net_load_ramp_rate_mw_per_hour,load_24h_min,direct_radiation,evening_ramp_severity,shortwave_radiation,cooling_discomfort_index,evening_peak_intensity,consecutive_heat_wave_days,load_24h_max,temperature_driven_ramp,wind_direction_10m,load_lag_24h,load_lag_168h,grid_flexibility_index,evening_weather_adaptation,solar_capacity_factor,festival_comfort_weekend_interaction,hour,hour_sin,wet_bulb_temperature_2m,ac_demand_probability,apparent_temperature (°C),dew_point_2m (°C),humidity_time_interaction,evening_peak_shift,heat_wave_intensity,solar_generation_mw,next_hour_is_peak,day_of_week_sin,evening_ramp_intensity,cloud_cover_high
2022-07-25 00:00:00,7.200000000000003,66.65342162983158,0.0,,3.6000000000000014,0.0,,0.0,4524.77,0.0,3,977.6,,32.37200861003913,0.5000000000000001,38.602807305555714,0.03,10,15.5,31.791416501315684,85.0,-120.835,-0.9192859697186104,0.1733333333333334,0.0,0.0,3430.0999999999995,,0.625,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,96.340096,0.0,0.0,52.0,1.0,0.0608,0.0,-30.20875,30,0.0,0.0,4.791666666666668,0.0,,1.133999563621782,27.6,0,15,0.0,-0.5683010250257894,-0.8660254037844388,41.97854125328921,25.2,86.0,5.791416501315684,,-0.3935902766564664,0.0,66.65342162983158,-0.4430274643389396,5087.33,0.0,4.791666666666668,1.791416501315684,28.666666666666668,5.0133658755992,,0.0,0.045,0.0,0,1.0,,,,0.0,,0.0,415.54,0.0,26.51925,5769.03,0,,0.0,93.99084,,,7.585499999999999,0.0,0.0,0.0,0,0.0,24.72711,0.0442,32.0,24.9,0.0,3.0,0.0,0.0,0.0,0.0,0.0,28.666666666666668
2022-07-25 01:00:00,7.200000000000003,133.30684325966317,0.0,,3.5,0.0,,0.0,4524.77,0.0,3,977.8,,32.37200861003913,0.5000000000000001,38.602807305555714,0.03,10,16.1,31.522670105555576,85.0,-120.835,-0.9192859697186104,0.1666666666666666,0.0,16.0,3430.0999999999995,,0.625,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,105.52418,0.0,0.0,50.0,1.0,0.06,2337.5,-30.20875,30,0.0,0.0,4.791666666666668,0.0,,1.133999563621782,27.5,0,15,0.0,-0.224000713992492,-0.8660254037844388,41.30667526388894,26.3,100.0,5.5226701055555765,,-0.3935902766564664,0.0,66.65342162983158,0.2347526790149743,5087.33,0.0,9.583333333333336,1.6570433034356284,33.333333333333336,5.0133658755992,,0.0,0.045,0.0,0,0.9659258262890684,,5518.96,,-680.9899999999998,,1.0,415.54,17.0,26.4275,5769.03,0,,0.0,105.78082,,,7.585499999999999,0.0,0.0,0.0,1,0.2588190451025207,24.999546,0.0424999999999999,31.8,24.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
2022-07-25 02:00:00,7.200000000000003,199.9602648894948,0.0,,3.3000000000000007,0.0,,0.0,4524.77,0.0,3,977.3,,32.37200861003913,0.5000000000000001,38.602807305555714,0.02,10,15.2,31.113641127384483,86.0,-120.835,-0.9192859697186104,0.1533333333333333,0.0,57.0,3430.0999999999995,,0.65,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,112.24908,0.0,0.0,29.0,1.0,0.0584,4695.6,-30.20875,30,0.0,0.0,4.791666666666668,0.0,,1.133999563621782,27.3,0,15,0.0,-0.0822862480270281,-0.8660254037844388,40.28410281846121,26.3,84.0,5.113641127384483,,-0.3935902766564664,0.0,66.65342162983158,0.8192747143566805,5087.33,0.0,14.375000000000004,1.4759092447519144,28.0,5.0133658755992,,0.0,0.045,0.0,0,0.8660254037844387,,5176.52,,-613.5400000000009,,2.0,415.54,59.0,26.3144,5769.03,0,,0.0,112.24908,,,7.585499999999999,0.0,0.0,0.0,2,0.4999999999999999,24.888416,0.03956,31.7,24.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0
2022-07-25 03:00:00,7.200000000000003,266.61368651932634,0.0,,2.2,0.0,,0.0,4524.77,0.0,3,977.7,,32.37200861003913,0.5000000000000001,38.602807305555714,0.01,10,14.8,28.552239500284387,90.0,-120.835,-0.9192859697186104,0.0799999999999999,0.0,157.0,3430.0999999999995,,0.75,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,112.56705,0.0,0.0,100.0,1.0,0.0496,7074.0,-30.20875,30,0.0,0.0,4.791666666666668,0.0,,1.133999563621782,26.2,0,15,0.0,-0.9775478012459936,-0.8660254037844388,28.0,26.6,43.0,0.1999999999999993,,-0.3935902766564664,0.0,66.65342162983158,0.3966432474629187,5087.33,0.0,19.16666666666667,0.7449918086350316,14.333333333333334,5.0133658755992,,0.0,0.045,0.0,0,0.7071067811865476,,4868.34,,-577.8299999999999,,72.0,415.54,229.0,25.5565,5769.03,0,,0.0,112.69383,,,7.585499999999999,0.0,0.0,0.0,3,0.7071067811865476,25.063961,0.0215999999999999,30.4,24.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.333333333333334
2022-07-25 04:00:00,7.200000000000003,333.26710814915793,0.0,,1.5,0.0,,0.0,4524.77,0.0,3,977.0,,32.37200861003913,0.5000000000000001,38.602807305555714,0.01,10,16.2,26.82026147711126,93.0,-120.835,-0.9192859697186104,0.0333333333333333,0.0,218.0,3430.0999999999995,,0.825,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,119.89881,0.0,0.0,99.0,1.0,0.044,9486.0,-30.20875,30,0.0,0.0,4.791666666666668,0.0,,1.133999563621782,25.5,0,15,0.0,-1.3649194775515348,-0.8660254037844388,26.250000000000007,24.8,38.0,-0.4999999999999964,,-0.3935902766564664,0.0,66.65342162983158,0.3850755801575474,5087.33,0.0,23.95833333333334,-0.0399542576697236,14.0,5.0133658755992,,0.0,0.045,0.0,0,0.5000000000000001,,4576.95,,-442.1299999999992,,217.0,415.54,435.0,25.0765,5769.03,0,,0.0,120.67721,,,7.585499999999999,0.0,0.0,0.0,4,0.8660254037844386,25.444305,0.0093,29.5,24.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25 05:00:00,7.200000000000003,399.9205297789895,0.0,,1.6999999999999993,0.0,,0.0,4524.77,0.0,3,976.8,,32.37200861003913,0.5000000000000001,38.602807305555714,0.0,10,13.2,27.34268166047121,93.0,-120.835,-0.9192859697186104,0.0466666666666666,0.0,251.0,3430.0999999999995,,0.825,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,121.701385,0.0,0.0,91.0,1.0,0.0456,11950.5,-30.20875,30,0.0,0.0,4.791666666666668,0.0,,1.133999563621782,25.7,0,15,0.0,-1.0008187072746395,-0.8660254037844388,26.74999999999999,27.7,31.0,-0.3000000000000042,,-0.3935902766564664,0.0,66.65342162983158,1.0966077638208809,5087.33,0.0,28.750000000000007,-0.4761816046462321,10.333333333333334,5.0133658755992,,0.0,0.045,0.0,0,0.2588190451025207,,4354.93,,-253.54999999999927,,353.0,415.54,604.0,25.2688,5769.03,0,,0.0,121.60746,,,7.585499999999999,0.0,0.0,0.0,5,0.9659258262890684,25.919117,0.0130199999999999,30.1,24.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334
2022-07-25 06:00:00,7.200000000000003,466.5739514088211,0.3415565787283951,,1.6999999999999993,0.0,,8.3,4524.77,0.0,3,977.0,,32.37200861003913,0.5000000000000001,38.602807305555714,0.0,10,14.1,27.34268166047121,93.0,-120.835,-0.9192859697186104,0.0466666666666666,1.0,255.0,3430.0999999999995,,0.825,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,119.05451,13.0,0.0,100.0,1.0,0.0456,14340.6,-30.20875,30,0.0,0.0,4.791666666666668,0.0,,1.133999563621782,25.7,1,15,0.0,-0.7587657670032719,-0.8660254037844388,26.74999999999999,22.3,29.0,-0.3000000000000042,,-0.3935902766564664,0.0,66.65342162983158,1.5675111773472423,5087.33,0.0,33.54166666666667,-0.7877725667723112,16.0,5.0133658755992,,14.0,0.045,0.0,0,6.123233995736766e-17,,4228.6,,-249.5500000000011,,422.0,415.54,677.0,25.2688,5769.03,0,,0.0,118.85556,,,7.585499999999999,0.0,0.0085685884691848,0.0,6,1.0,26.205336,0.0303799999999999,30.0,24.5,46.5,3.0,0.0,12.93,0.0,0.0,0.0,0.0
2022-07-25 07:00:00,7.200000000000003,533.2273730386527,1.263579892181813,,1.8000000000000007,0.0,,10.8,4524.77,0.0,3,977.3,,32.37200861003913,0.5000000000000001,38.602807305555714,0.01,10,15.5,27.584864000391217,92.0,-120.835,-0.9192859697186104,0.1553080371037265,3.0,242.0,3430.0999999999995,,0.8,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,117.61294,57.0,0.0,86.0,1.0,0.0464,16615.2,-30.20875,30,1.455505130674542,0.0,4.791666666666668,0.0,,1.133999563621782,25.8,1,15,0.0,-0.6019576201827341,-0.8660254037844388,26.99999999999999,29.2,31.0,-0.2000000000000028,,-0.3935902766564664,0.0,66.65342162983158,1.8734653324817248,5087.33,0.0,38.33333333333334,-0.9911929958768724,10.333333333333334,5.0133658755992,,60.0,0.15,0.0,0,-0.2588190451025206,,4103.14,,8.399999999998727,,446.0,415.54,688.0,25.3028,5769.03,0,,0.0,117.47435,,,7.585499999999999,0.0,0.0367196819085487,0.0,7,0.9659258262890684,26.167479,0.0343466666666666,29.8,24.4,46.0,3.0,0.0,55.41,0.0,0.0,0.0,10.333333333333334
2022-07-25 08:00:00,7.200000000000003,599.8807946684842,4.359793685721866,,2.3999999999999986,0.0,,157.1,4524.77,0.0,3,978.4,,32.37200861003913,0.5000000000000001,38.602807305555714,0.04,10,17.2,29.01514390849779,89.0,-120.835,-0.9192859697186104,0.2693333333333332,76.0,260.0,3430.0999999999995,,0.725,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,119.953514,166.0,0.0,100.0,1.0,0.0511999999999999,18796.8,-30.20875,30,2.05550513067454,1.0,4.791666666666668,0.0,,1.133999563621782,26.4,1,15,0.0,-0.6197233505178659,-0.8660254037844388,28.499999999999982,29.5,25.0,0.399999999999995,,-0.3935902766564664,0.0,66.65342162983158,1.5199489035554627,5087.33,0.0,43.125000000000014,-0.9904888953907972,8.333333333333334,5.0133658755992,,242.0,0.15,0.0,0,-0.4999999999999998,,4104.82,,-23.019999999999527,,500.0,415.54,760.0,25.68005,5769.03,0,,0.0,120.01828,,,7.585499999999999,0.0,0.148104705102717,0.0,8,0.8660254037844387,26.380638,0.0581466666666666,30.3,24.5,44.5,3.0,0.0,155.005,0.0,0.0,0.0,8.333333333333334
2022-07-25 09:00:00,7.200000000000003,666.5342162983159,7.396622996038392,,2.3999999999999986,0.0,,310.8,4524.77,0.0,3,978.7,,32.37200861003913,0.5000000000000001,38.602807305555714,0.07,10,17.1,29.01514390849779,89.0,-120.835,-0.9192859697186104,0.342234920310998,208.0,252.0,3430.0999999999995,,0.725,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,115.301346,220.0,0.0,84.0,1.0,0.0511999999999999,21146.4,-30.20875,30,2.05550513067454,1.0,4.791666666666668,0.0,,1.133999563621782,26.4,1,15,0.0,-1.2707550381490194,-0.8660254037844388,28.499999999999982,31.3,31.0,0.399999999999995,,-0.3935902766564664,0.0,66.65342162983158,-0.2281527215953467,5087.33,0.0,47.91666666666668,-0.9899256150019368,11.0,5.0133658755992,,428.0,0.15,0.0,1,-0.7071067811865475,,4098.09,,228.4500000000008,,435.0,415.54,687.0,25.68005,5769.03,0,,0.0,114.94388,,,7.585499999999999,0.0,0.2619350563286945,0.0,9,0.7071067811865476,26.332981,0.0581466666666666,30.3,24.4,44.5,3.0,0.0,254.6,0.0,0.0,0.0,0.0
2022-07-25 10:00:00,7.200000000000003,733.1876379281474,10.445753434520078,,3.6000000000000014,0.0,,425.7,4524.77,0.5813953488372092,3,979.0,,32.37200861003913,0.5000000000000001,38.602807305555714,0.19,10,21.5,31.384260824675703,82.0,-120.835,-0.9192859697186104,0.4054281415475628,349.0,234.0,3430.0999999999995,,0.55,25,-0.8660254037844386,,4.801678657992204,25.500000000000004,112.38018,248.0,0.0,43.0,1.0,0.0608,22632.000000000004,-30.20875,30,3.2555051306745426,1.0,4.791666666666668,0.0,,1.133999563621782,27.6,1,15,0.0,-1.037527465937501,-0.8660254037844388,40.96065206168926,36.0,27.0,5.384260824675703,,-0.3935902766564664,0.0,66.65342162983158,-1.497487758143496,5087.33,1.0,52.70833333333334,-0.774090484122155,9.0,5.0133658755992,,597.0,0.5,0.1,1,-0.8660254037844387,,4211.96,,1135.0599999999995,,329.0,415.54,563.0,26.3031,5769.03,0,,0.0,112.30626,,,7.585499999999999,0.0,0.3653611663353214,0.0,10,0.4999999999999999,26.239365,0.0994933333333333,30.7,24.2,41.0,3.0,0.0,254.6,0.0,0.0,0.0,9.0
2022-07-25 11:00:00,7.200000000000003,799.841059557979,11.261079849496769,,5.100000000000001,1.153689732987169,1420.87,433.3,4524.77,0.5813953488372092,3,979.2,,32.37200861003913,0.5000000000000001,38.602807305555714,0.33,10,24.7,33.94281318847107,75.0,-120.835,-0.9192859697186104,0.4373394892553314,401.0,190.0,3430.0999999999995,4592.4175000000005,0.4025,25,-0.8660254037844386,0.0,4.801678657992204,25.500000000000004,106.699326,253.0,0.0,38.0,1.0,0.364,24007.5,-30.20875,30,4.755505130674543,0.0,4.791666666666668,0.0,487.1936044908818,1.133999563621782,29.1,1,15,0.0,-0.6472728485024319,-0.8660254037844388,47.35703297117768,43.2,22.0,7.942813188471071,,-0.3935902766564664,0.0,66.65342162983158,-2.455184160102192,5087.33,1.0,57.500000000000014,-0.3810151780727153,7.333333333333333,5.0133658755992,,654.0,0.5,0.3,1,-0.9659258262890682,,4779.37,,613.3500000000004,4098.09,253.0,415.54,443.0,27.0925,5769.03,0,5518.96,0.0,107.52566,,,7.585499999999999,0.0,0.4002451954937044,0.0,11,0.258819045102521,26.130081,0.1435,31.6,24.1,0.0,3.0,0.0,254.6,0.0,0.0,0.0,7.333333333333333
2022-07-25 12:00:00,7.200000000000003,866.4944811878106,13.632841332185627,,6.199999999999999,3.26312733432209,1420.87,483.0,4524.77,0.5813953488372092,3,979.4,,32.37200861003913,0.5000000000000001,38.602807305555714,0.45,10,22.0,35.78580557441782,71.0,-120.835,-0.9192859697186104,0.4505833333333333,473.0,138.0,3865.65,4637.76,0.3299999999999999,25,-0.8660254037844386,1.0,4.801678657992204,25.500000000000004,86.87794,249.0,0.0,31.0,1.0,0.408,25730.4,-30.20875,30,0.0,0.0,4.791666666666668,0.0,494.2722504349194,1.133999563621782,30.2,1,15,0.0,-0.6319160497868879,-0.8660254037844388,51.96451393604456,44.6,46.0,9.785805574417822,,-0.3935902766564664,0.0,66.65342162983158,-3.385884607196079,5087.33,1.0,62.291666666666686,0.0933556490419391,15.333333333333334,5.0133658755992,,722.0,0.5,0.5,1,-1.0,,5087.33,,183.8400000000001,4098.09,139.0,415.54,277.0,27.69585,5769.03,0,5518.96,0.0,85.4861,,,7.585499999999999,0.0,0.4418621603711067,0.0,12,1.2246467991473532e-16,25.62785,0.2461333333333333,33.6,24.3,106.5,3.0,0.0,254.6,0.0,0.0,0.0,15.333333333333334
